0.391783	836
0.392169	417
0.392779	830
0.394992	828
0.398278	42
0.398372	279
0.398372	411
0.402418	818
0.404182	408
0.409559	815
0.409585	335
0.41399	400
0.937249	279
0.937474	227
0.937504	111
1.080165	988
1.090359	107
1.114111	103
1.28109	96
1.282696	99
1.362642	978
1.371618	493
1.371842	149
1.375208	483
1.380541	979
1.398529	481
1.434395	4
1.44157	972
1.443006	5
1.444172	3
1.451722	962
1.453474	6
1.454219	480
1.454349	240
1.47031	472
1.472355	235
1.544923	139
1.547596	17
1.567778	142
1.598834	451
1.603345	444
1.614901	438
1.619543	222
1.619922	444
1.624771	218
1.625982	429
1.626009	214
1.626099	105
1.628855	106
1.637169	217
1.638522	159
1.64209	104
1.646563	105
1.650353	210
1.653475	206
1.805224	62
1.813775	60
1.815588	153
1.8208	63
1.821188	63
1.829171	154
1.834656	33
1.838476	151
1.922202	40
1.922743	19
1.939271	30
1.940527	40
1.94107	19
1.941302	38
1.941815	18
1.946743	10
1.947938	33
1.948303	4
1.954789	29
1.955573	1
1.958113	13
1.958254	13
1.96442	9
1.964513	10
1.965998	4
1.968563	17
1.972272	30
1.972333	14
1.97476	27
1.97616	12
1.97696	12
1.978149	5
1.986765	2
1.986882	10
1.989933	3
1.98996	    3
1.991152	1
1.9922	    2
1.992869	2

